"country_name","genres","n"
"Argentina","Action",128
"Argentina","Adventure",103
"Argentina","Animation",56
"Argentina","Biography",10
"Argentina","Comedy",175
"Argentina","Crime",139
"Argentina","Documentary",12
"Argentina","Drama",360
"Argentina","Family",14
"Argentina","Fantasy",34
"Argentina","History",5
"Argentina","Horror",33
"Argentina","Music",35
"Argentina","Musical",2
"Argentina","Mystery",55
"Argentina","Romance",102
"Argentina","Sci-Fi",10
"Argentina","Sport",6
"Argentina","Thriller",90
"Argentina","War",3
"Argentina","Western",6
"Australia","Action",181
"Australia","Adult",1
"Australia","Adventure",131
"Australia","Animation",51
"Australia","Biography",15
"Australia","Comedy",176
"Australia","Crime",135
"Australia","Documentary",32
"Australia","Drama",296
"Australia","Family",43
"Australia","Fantasy",58
"Australia","Game-Show",9
"Australia","History",5
"Australia","Horror",31
"Australia","Music",3
"Australia","Musical",1
"Australia","Mystery",51
"Australia","Reality-TV",24
"Australia","Romance",71
"Australia","Sci-Fi",52
"Australia","Sport",13
"Australia","Talk-Show",3
"Australia","Thriller",58
"Australia","War",7
"Australia","Western",7
"Austria","Action",191
"Austria","Adult",2
"Austria","Adventure",140
"Austria","Animation",35
"Austria","Biography",16
"Austria","Comedy",185
"Austria","Crime",156
"Austria","Documentary",22
"Austria","Drama",310
"Austria","Family",47
"Austria","Fantasy",68
"Austria","Game-Show",7
"Austria","History",4
"Austria","Horror",36
"Austria","Music",2
"Austria","Mystery",58
"Austria","Reality-TV",10
"Austria","Romance",84
"Austria","Sci-Fi",27
"Austria","Sport",14
"Austria","Talk-Show",1
"Austria","Thriller",78
"Austria","War",3
"Austria","Western",7
"Bahamas","Action",179
"Bahamas","Adventure",104
"Bahamas","Animation",76
"Bahamas","Biography",11
"Bahamas","Comedy",181
"Bahamas","Crime",147
"Bahamas","Documentary",8
"Bahamas","Drama",286
"Bahamas","Family",47
"Bahamas","Fantasy",42
"Bahamas","Game-Show",4
"Bahamas","Horror",29
"Bahamas","Music",4
"Bahamas","Musical",1
"Bahamas","Mystery",40
"Bahamas","Reality-TV",9
"Bahamas","Romance",65
"Bahamas","Sci-Fi",22
"Bahamas","Sport",4
"Bahamas","Talk-Show",2
"Bahamas","Thriller",105
"Bahamas","War",4
"Bahamas","Western",7
"Bahrain","Action",199
"Bahrain","Adventure",114
"Bahrain","Animation",33
"Bahrain","Biography",18
"Bahrain","Comedy",165
"Bahrain","Crime",132
"Bahrain","Documentary",10
"Bahrain","Drama",321
"Bahrain","Family",19
"Bahrain","Fantasy",54
"Bahrain","Game-Show",11
"Bahrain","History",3
"Bahrain","Horror",36
"Bahrain","Music",1
"Bahrain","Musical",2
"Bahrain","Mystery",51
"Bahrain","Reality-TV",14
"Bahrain","Romance",85
"Bahrain","Sci-Fi",22
"Bahrain","Sport",5
"Bahrain","Thriller",82
"Bahrain","War",2
"Bahrain","Western",8
"Bangladesh","Action",218
"Bangladesh","Adventure",92
"Bangladesh","Animation",28
"Bangladesh","Biography",6
"Bangladesh","Comedy",180
"Bangladesh","Crime",164
"Bangladesh","Documentary",6
"Bangladesh","Drama",367
"Bangladesh","Family",13
"Bangladesh","Fantasy",38
"Bangladesh","Game-Show",4
"Bangladesh","History",2
"Bangladesh","Horror",30
"Bangladesh","Musical",5
"Bangladesh","Mystery",89
"Bangladesh","Reality-TV",2
"Bangladesh","Romance",102
"Bangladesh","Sci-Fi",40
"Bangladesh","Sport",1
"Bangladesh","Thriller",72
"Bangladesh","War",2
"Bangladesh","Western",3
"Belgium","Action",195
"Belgium","Adventure",137
"Belgium","Animation",54
"Belgium","Biography",15
"Belgium","Comedy",189
"Belgium","Crime",133
"Belgium","Documentary",12
"Belgium","Drama",315
"Belgium","Family",24
"Belgium","Fantasy",67
"Belgium","Game-Show",6
"Belgium","History",2
"Belgium","Horror",30
"Belgium","Music",8
"Belgium","Mystery",48
"Belgium","Reality-TV",9
"Belgium","Romance",82
"Belgium","Sci-Fi",32
"Belgium","Sport",9
"Belgium","Thriller",67
"Belgium","War",4
"Belgium","Western",8
"Bolivia","Action",155
"Bolivia","Adventure",140
"Bolivia","Animation",98
"Bolivia","Biography",3
"Bolivia","Comedy",224
"Bolivia","Crime",90
"Bolivia","Documentary",9
"Bolivia","Drama",266
"Bolivia","Family",14
"Bolivia","Fantasy",41
"Bolivia","History",1
"Bolivia","Horror",25
"Bolivia","Music",18
"Bolivia","Mystery",41
"Bolivia","Reality-TV",3
"Bolivia","Romance",111
"Bolivia","Sci-Fi",21
"Bolivia","Sport",2
"Bolivia","Thriller",57
"Bolivia","War",2
"Bolivia","Western",4
"Brazil","Action",159
"Brazil","Adult",1
"Brazil","Adventure",188
"Brazil","Animation",72
"Brazil","Biography",9
"Brazil","Comedy",178
"Brazil","Crime",118
"Brazil","Documentary",13
"Brazil","Drama",267
"Brazil","Family",74
"Brazil","Fantasy",40
