"label","n","parent","id"
"total",132612,NA,"total"
"Action",17207,"total","total  -  Action"
"Adult",56,"total","total  -  Adult"
"Adventure",10941,"total","total  -  Adventure"
"Animation",4559,"total","total  -  Animation"
"Biography",1114,"total","total  -  Biography"
"Comedy",17067,"total","total  -  Comedy"
"Crime",12529,"total","total  -  Crime"
"Documentary",1348,"total","total  -  Documentary"
"Drama",30144,"total","total  -  Drama"
"Family",2259,"total","total  -  Family"
"Fantasy",4634,"total","total  -  Fantasy"
"Film Noir",4,"total","total  -  Film Noir"
"Game Show",489,"total","total  -  Game Show"
"History",373,"total","total  -  History"
"Horror",2959,"total","total  -  Horror"
"Music",954,"total","total  -  Music"
"Musical",171,"total","total  -  Musical"
"Mystery",4753,"total","total  -  Mystery"
"News",2,"total","total  -  News"
"Reality TV",842,"total","total  -  Reality TV"
"Romance",8869,"total","total  -  Romance"
"Sci Fi",2844,"total","total  -  Sci Fi"
"Short",1,"total","total  -  Short"
"Sport",590,"total","total  -  Sport"
"Talk Show",43,"total","total  -  Talk Show"
"Thriller",6833,"total","total  -  Thriller"
"War",350,"total","total  -  War"
"Western",677,"total","total  -  Western"
"Argentina",128,"total  -  Action","total  -  Action  -  Argentina"
"Argentina",103,"total  -  Adventure","total  -  Adventure  -  Argentina"
"Argentina",56,"total  -  Animation","total  -  Animation  -  Argentina"
"Argentina",10,"total  -  Biography","total  -  Biography  -  Argentina"
"Argentina",175,"total  -  Comedy","total  -  Comedy  -  Argentina"
"Argentina",139,"total  -  Crime","total  -  Crime  -  Argentina"
"Argentina",12,"total  -  Documentary","total  -  Documentary  -  Argentina"
"Argentina",360,"total  -  Drama","total  -  Drama  -  Argentina"
"Argentina",14,"total  -  Family","total  -  Family  -  Argentina"
"Argentina",34,"total  -  Fantasy","total  -  Fantasy  -  Argentina"
"Argentina",5,"total  -  History","total  -  History  -  Argentina"
"Argentina",33,"total  -  Horror","total  -  Horror  -  Argentina"
"Argentina",35,"total  -  Music","total  -  Music  -  Argentina"
"Argentina",2,"total  -  Musical","total  -  Musical  -  Argentina"
"Argentina",55,"total  -  Mystery","total  -  Mystery  -  Argentina"
"Argentina",102,"total  -  Romance","total  -  Romance  -  Argentina"
"Argentina",10,"total  -  Sci Fi","total  -  Sci Fi  -  Argentina"
"Argentina",6,"total  -  Sport","total  -  Sport  -  Argentina"
"Argentina",90,"total  -  Thriller","total  -  Thriller  -  Argentina"
"Argentina",3,"total  -  War","total  -  War  -  Argentina"
"Argentina",6,"total  -  Western","total  -  Western  -  Argentina"
"Australia",181,"total  -  Action","total  -  Action  -  Australia"
"Australia",1,"total  -  Adult","total  -  Adult  -  Australia"
"Australia",131,"total  -  Adventure","total  -  Adventure  -  Australia"
"Australia",51,"total  -  Animation","total  -  Animation  -  Australia"
"Australia",15,"total  -  Biography","total  -  Biography  -  Australia"
"Australia",176,"total  -  Comedy","total  -  Comedy  -  Australia"
"Australia",135,"total  -  Crime","total  -  Crime  -  Australia"
"Australia",32,"total  -  Documentary","total  -  Documentary  -  Australia"
"Australia",296,"total  -  Drama","total  -  Drama  -  Australia"
"Australia",43,"total  -  Family","total  -  Family  -  Australia"
"Australia",58,"total  -  Fantasy","total  -  Fantasy  -  Australia"
"Australia",9,"total  -  Game Show","total  -  Game Show  -  Australia"
"Australia",5,"total  -  History","total  -  History  -  Australia"
"Australia",31,"total  -  Horror","total  -  Horror  -  Australia"
"Australia",3,"total  -  Music","total  -  Music  -  Australia"
"Australia",1,"total  -  Musical","total  -  Musical  -  Australia"
"Australia",51,"total  -  Mystery","total  -  Mystery  -  Australia"
"Australia",24,"total  -  Reality TV","total  -  Reality TV  -  Australia"
"Australia",71,"total  -  Romance","total  -  Romance  -  Australia"
"Australia",52,"total  -  Sci Fi","total  -  Sci Fi  -  Australia"
"Australia",13,"total  -  Sport","total  -  Sport  -  Australia"
"Australia",3,"total  -  Talk Show","total  -  Talk Show  -  Australia"
"Australia",58,"total  -  Thriller","total  -  Thriller  -  Australia"
"Australia",7,"total  -  War","total  -  War  -  Australia"
"Australia",7,"total  -  Western","total  -  Western  -  Australia"
"Austria",191,"total  -  Action","total  -  Action  -  Austria"
"Austria",2,"total  -  Adult","total  -  Adult  -  Austria"
"Austria",140,"total  -  Adventure","total  -  Adventure  -  Austria"
"Austria",35,"total  -  Animation","total  -  Animation  -  Austria"
"Austria",16,"total  -  Biography","total  -  Biography  -  Austria"
"Austria",185,"total  -  Comedy","total  -  Comedy  -  Austria"
"Austria",156,"total  -  Crime","total  -  Crime  -  Austria"
"Austria",22,"total  -  Documentary","total  -  Documentary  -  Austria"
"Austria",310,"total  -  Drama","total  -  Drama  -  Austria"
"Austria",47,"total  -  Family","total  -  Family  -  Austria"
"Austria",68,"total  -  Fantasy","total  -  Fantasy  -  Austria"
"Austria",7,"total  -  Game Show","total  -  Game Show  -  Austria"
"Austria",4,"total  -  History","total  -  History  -  Austria"
"Austria",36,"total  -  Horror","total  -  Horror  -  Austria"
"Austria",2,"total  -  Music","total  -  Music  -  Austria"
"Austria",58,"total  -  Mystery","total  -  Mystery  -  Austria"
"Austria",10,"total  -  Reality TV","total  -  Reality TV  -  Austria"
"Austria",84,"total  -  Romance","total  -  Romance  -  Austria"
"Austria",27,"total  -  Sci Fi","total  -  Sci Fi  -  Austria"
"Austria",14,"total  -  Sport","total  -  Sport  -  Austria"
"Austria",1,"total  -  Talk Show","total  -  Talk Show  -  Austria"
"Austria",78,"total  -  Thriller","total  -  Thriller  -  Austria"
"Austria",3,"total  -  War","total  -  War  -  Austria"
"Austria",7,"total  -  Western","total  -  Western  -  Austria"
"Bahamas",179,"total  -  Action","total  -  Action  -  Bahamas"
"Bahamas",104,"total  -  Adventure","total  -  Adventure  -  Bahamas"
"Bahamas",76,"total  -  Animation","total  -  Animation  -  Bahamas"
"Bahamas",11,"total  -  Biography","total  -  Biography  -  Bahamas"
"Bahamas",181,"total  -  Comedy","total  -  Comedy  -  Bahamas"
"Bahamas",147,"total  -  Crime","total  -  Crime  -  Bahamas"
"Bahamas",8,"total  -  Documentary","total  -  Documentary  -  Bahamas"
"Bahamas",286,"total  -  Drama","total  -  Drama  -  Bahamas"
"Bahamas",47,"total  -  Family","total  -  Family  -  Bahamas"
"Bahamas",42,"total  -  Fantasy","total  -  Fantasy  -  Bahamas"
"Bahamas",4,"total  -  Game Show","total  -  Game Show  -  Bahamas"
"Bahamas",29,"total  -  Horror","total  -  Horror  -  Bahamas"
"Bahamas",4,"total  -  Music","total  -  Music  -  Bahamas"
"Bahamas",1,"total  -  Musical","total  -  Musical  -  Bahamas"
"Bahamas",40,"total  -  Mystery","total  -  Mystery  -  Bahamas"
"Bahamas",9,"total  -  Reality TV","total  -  Reality TV  -  Bahamas"
"Bahamas",65,"total  -  Romance","total  -  Romance  -  Bahamas"
"Bahamas",22,"total  -  Sci Fi","total  -  Sci Fi  -  Bahamas"
"Bahamas",4,"total  -  Sport","total  -  Sport  -  Bahamas"
"Bahamas",2,"total  -  Talk Show","total  -  Talk Show  -  Bahamas"
"Bahamas",105,"total  -  Thriller","total  -  Thriller  -  Bahamas"
"Bahamas",4,"total  -  War","total  -  War  -  Bahamas"
"Bahamas",7,"total  -  Western","total  -  Western  -  Bahamas"
"Bahrain",199,"total  -  Action","total  -  Action  -  Bahrain"
"Bahrain",114,"total  -  Adventure","total  -  Adventure  -  Bahrain"
"Bahrain",33,"total  -  Animation","total  -  Animation  -  Bahrain"
"Bahrain",18,"total  -  Biography","total  -  Biography  -  Bahrain"
"Bahrain",165,"total  -  Comedy","total  -  Comedy  -  Bahrain"
"Bahrain",132,"total  -  Crime","total  -  Crime  -  Bahrain"
"Bahrain",10,"total  -  Documentary","total  -  Documentary  -  Bahrain"
"Bahrain",321,"total  -  Drama","total  -  Drama  -  Bahrain"
"Bahrain",19,"total  -  Family","total  -  Family  -  Bahrain"
"Bahrain",54,"total  -  Fantasy","total  -  Fantasy  -  Bahrain"
"Bahrain",11,"total  -  Game Show","total  -  Game Show  -  Bahrain"
"Bahrain",3,"total  -  History","total  -  History  -  Bahrain"
"Bahrain",36,"total  -  Horror","total  -  Horror  -  Bahrain"
"Bahrain",1,"total  -  Music","total  -  Music  -  Bahrain"
"Bahrain",2,"total  -  Musical","total  -  Musical  -  Bahrain"
"Bahrain",51,"total  -  Mystery","total  -  Mystery  -  Bahrain"
"Bahrain",14,"total  -  Reality TV","total  -  Reality TV  -  Bahrain"
"Bahrain",85,"total  -  Romance","total  -  Romance  -  Bahrain"
"Bahrain",22,"total  -  Sci Fi","total  -  Sci Fi  -  Bahrain"
"Bahrain",5,"total  -  Sport","total  -  Sport  -  Bahrain"
"Bahrain",82,"total  -  Thriller","total  -  Thriller  -  Bahrain"
"Bahrain",2,"total  -  War","total  -  War  -  Bahrain"
"Bahrain",8,"total  -  Western","total  -  Western  -  Bahrain"
"Bangladesh",218,"total  -  Action","total  -  Action  -  Bangladesh"
"Bangladesh",92,"total  -  Adventure","total  -  Adventure  -  Bangladesh"
"Bangladesh",28,"total  -  Animation","total  -  Animation  -  Bangladesh"
"Bangladesh",6,"total  -  Biography","total  -  Biography  -  Bangladesh"
"Bangladesh",180,"total  -  Comedy","total  -  Comedy  -  Bangladesh"
"Bangladesh",164,"total  -  Crime","total  -  Crime  -  Bangladesh"
"Bangladesh",6,"total  -  Documentary","total  -  Documentary  -  Bangladesh"
"Bangladesh",367,"total  -  Drama","total  -  Drama  -  Bangladesh"
"Bangladesh",13,"total  -  Family","total  -  Family  -  Bangladesh"
"Bangladesh",38,"total  -  Fantasy","total  -  Fantasy  -  Bangladesh"
"Bangladesh",4,"total  -  Game Show","total  -  Game Show  -  Bangladesh"
"Bangladesh",2,"total  -  History","total  -  History  -  Bangladesh"
"Bangladesh",30,"total  -  Horror","total  -  Horror  -  Bangladesh"
"Bangladesh",5,"total  -  Musical","total  -  Musical  -  Bangladesh"
"Bangladesh",89,"total  -  Mystery","total  -  Mystery  -  Bangladesh"
"Bangladesh",2,"total  -  Reality TV","total  -  Reality TV  -  Bangladesh"
"Bangladesh",102,"total  -  Romance","total  -  Romance  -  Bangladesh"
"Bangladesh",40,"total  -  Sci Fi","total  -  Sci Fi  -  Bangladesh"
"Bangladesh",1,"total  -  Sport","total  -  Sport  -  Bangladesh"
"Bangladesh",72,"total  -  Thriller","total  -  Thriller  -  Bangladesh"
"Bangladesh",2,"total  -  War","total  -  War  -  Bangladesh"
"Bangladesh",3,"total  -  Western","total  -  Western  -  Bangladesh"
"Belgium",195,"total  -  Action","total  -  Action  -  Belgium"
"Belgium",137,"total  -  Adventure","total  -  Adventure  -  Belgium"
"Belgium",54,"total  -  Animation","total  -  Animation  -  Belgium"
"Belgium",15,"total  -  Biography","total  -  Biography  -  Belgium"
"Belgium",189,"total  -  Comedy","total  -  Comedy  -  Belgium"
"Belgium",133,"total  -  Crime","total  -  Crime  -  Belgium"
"Belgium",12,"total  -  Documentary","total  -  Documentary  -  Belgium"
"Belgium",315,"total  -  Drama","total  -  Drama  -  Belgium"
"Belgium",24,"total  -  Family","total  -  Family  -  Belgium"
"Belgium",67,"total  -  Fantasy","total  -  Fantasy  -  Belgium"
"Belgium",6,"total  -  Game Show","total  -  Game Show  -  Belgium"
"Belgium",2,"total  -  History","total  -  History  -  Belgium"
"Belgium",30,"total  -  Horror","total  -  Horror  -  Belgium"
"Belgium",8,"total  -  Music","total  -  Music  -  Belgium"
"Belgium",48,"total  -  Mystery","total  -  Mystery  -  Belgium"
"Belgium",9,"total  -  Reality TV","total  -  Reality TV  -  Belgium"
"Belgium",82,"total  -  Romance","total  -  Romance  -  Belgium"
"Belgium",32,"total  -  Sci Fi","total  -  Sci Fi  -  Belgium"
"Belgium",9,"total  -  Sport","total  -  Sport  -  Belgium"
"Belgium",67,"total  -  Thriller","total  -  Thriller  -  Belgium"
"Belgium",4,"total  -  War","total  -  War  -  Belgium"
"Belgium",8,"total  -  Western","total  -  Western  -  Belgium"
"Bolivia",155,"total  -  Action","total  -  Action  -  Bolivia"
"Bolivia",140,"total  -  Adventure","total  -  Adventure  -  Bolivia"
"Bolivia",98,"total  -  Animation","total  -  Animation  -  Bolivia"
"Bolivia",3,"total  -  Biography","total  -  Biography  -  Bolivia"
"Bolivia",224,"total  -  Comedy","total  -  Comedy  -  Bolivia"
"Bolivia",90,"total  -  Crime","total  -  Crime  -  Bolivia"
"Bolivia",9,"total  -  Documentary","total  -  Documentary  -  Bolivia"
"Bolivia",266,"total  -  Drama","total  -  Drama  -  Bolivia"
"Bolivia",14,"total  -  Family","total  -  Family  -  Bolivia"
"Bolivia",41,"total  -  Fantasy","total  -  Fantasy  -  Bolivia"
"Bolivia",1,"total  -  History","total  -  History  -  Bolivia"
"Bolivia",25,"total  -  Horror","total  -  Horror  -  Bolivia"
"Bolivia",18,"total  -  Music","total  -  Music  -  Bolivia"
"Bolivia",41,"total  -  Mystery","total  -  Mystery  -  Bolivia"
"Bolivia",3,"total  -  Reality TV","total  -  Reality TV  -  Bolivia"
"Bolivia",111,"total  -  Romance","total  -  Romance  -  Bolivia"
"Bolivia",21,"total  -  Sci Fi","total  -  Sci Fi  -  Bolivia"
"Bolivia",2,"total  -  Sport","total  -  Sport  -  Bolivia"
"Bolivia",57,"total  -  Thriller","total  -  Thriller  -  Bolivia"
"Bolivia",2,"total  -  War","total  -  War  -  Bolivia"
"Bolivia",4,"total  -  Western","total  -  Western  -  Bolivia"
"Brazil",159,"total  -  Action","total  -  Action  -  Brazil"
"Brazil",1,"total  -  Adult","total  -  Adult  -  Brazil"
"Brazil",188,"total  -  Adventure","total  -  Adventure  -  Brazil"
"Brazil",72,"total  -  Animation","total  -  Animation  -  Brazil"
"Brazil",9,"total  -  Biography","total  -  Biography  -  Brazil"
"Brazil",178,"total  -  Comedy","total  -  Comedy  -  Brazil"
"Brazil",118,"total  -  Crime","total  -  Crime  -  Brazil"
"Brazil",13,"total  -  Documentary","total  -  Documentary  -  Brazil"
"Brazil",267,"total  -  Drama","total  -  Drama  -  Brazil"
"Brazil",74,"total  -  Family","total  -  Family  -  Brazil"
"Brazil",40,"total  -  Fantasy","total  -  Fantasy  -  Brazil"
"Brazil",4,"total  -  Game Show","total  -  Game Show  -  Brazil"
"Brazil",2,"total  -  History","total  -  History  -  Brazil"
"Brazil",25,"total  -  Horror","total  -  Horror  -  Brazil"
"Brazil",40,"total  -  Music","total  -  Music  -  Brazil"
"Brazil",24,"total  -  Musical","total  -  Musical  -  Brazil"
"Brazil",40,"total  -  Mystery","total  -  Mystery  -  Brazil"
"Brazil",11,"total  -  Reality TV","total  -  Reality TV  -  Brazil"
"Brazil",117,"total  -  Romance","total  -  Romance  -  Brazil"
"Brazil",19,"total  -  Sci Fi","total  -  Sci Fi  -  Brazil"
"Brazil",3,"total  -  Sport","total  -  Sport  -  Brazil"
"Brazil",62,"total  -  Thriller","total  -  Thriller  -  Brazil"
"Brazil",2,"total  -  War","total  -  War  -  Brazil"
"Brazil",6,"total  -  Western","total  -  Western  -  Brazil"
"Bulgaria",214,"total  -  Action","total  -  Action  -  Bulgaria"
"Bulgaria",128,"total  -  Adventure","total  -  Adventure  -  Bulgaria"
"Bulgaria",49,"total  -  Animation","total  -  Animation  -  Bulgaria"
"Bulgaria",14,"total  -  Biography","total  -  Biography  -  Bulgaria"
"Bulgaria",185,"total  -  Comedy","total  -  Comedy  -  Bulgaria"
"Bulgaria",123,"total  -  Crime","total  -  Crime  -  Bulgaria"
"Bulgaria",17,"total  -  Documentary","total  -  Documentary  -  Bulgaria"
"Bulgaria",316,"total  -  Drama","total  -  Drama  -  Bulgaria"
"Bulgaria",28,"total  -  Family","total  -  Family  -  Bulgaria"
"Bulgaria",55,"total  -  Fantasy","total  -  Fantasy  -  Bulgaria"
"Bulgaria",10,"total  -  Game Show","total  -  Game Show  -  Bulgaria"
"Bulgaria",4,"total  -  History","total  -  History  -  Bulgaria"
"Bulgaria",32,"total  -  Horror","total  -  Horror  -  Bulgaria"
"Bulgaria",3,"total  -  Music","total  -  Music  -  Bulgaria"
"Bulgaria",1,"total  -  Musical","total  -  Musical  -  Bulgaria"
"Bulgaria",42,"total  -  Mystery","total  -  Mystery  -  Bulgaria"
"Bulgaria",14,"total  -  Reality TV","total  -  Reality TV  -  Bulgaria"
"Bulgaria",99,"total  -  Romance","total  -  Romance  -  Bulgaria"
"Bulgaria",38,"total  -  Sci Fi","total  -  Sci Fi  -  Bulgaria"
"Bulgaria",8,"total  -  Sport","total  -  Sport  -  Bulgaria"
"Bulgaria",1,"total  -  Talk Show","total  -  Talk Show  -  Bulgaria"
