"id","n","label","parent"
"total",119068,NA,NA
"total",677,"total","total"
"total  -  Action",17207,"Action","total"
"total  -  Adventure",10941,"Adventure","total"
"total  -  Animation",3677,"Animation","total"
"total  -  Biography",35,"Biography","total"
"total  -  Comedy",17067,"Comedy","total"
"total  -  Crime",12529,"Crime","total"
"total  -  Drama",30144,"Drama","total"
"total  -  Family",350,"Family","total"
"total  -  Fantasy",4416,"Fantasy","total"
"total  -  Horror",544,"Horror","total"
"total  -  Music",163,"Music","total"
"total  -  Mystery",4473,"Mystery","total"
"total  -  Romance",8869,"Romance","total"
"total  -  Sci Fi",1194,"Sci Fi","total"
"total  -  Thriller",6782,"Thriller","total"
"total  -  Western",677,"Western","total"
"total  -  Action  -  Argentina",128,"Argentina","total  -  Action"
"total  -  Adventure  -  Argentina",103,"Argentina","total  -  Adventure"
"total  -  Animation  -  Argentina",56,"Argentina","total  -  Animation"
"total  -  Comedy  -  Argentina",175,"Argentina","total  -  Comedy"
"total  -  Crime  -  Argentina",139,"Argentina","total  -  Crime"
"total  -  Drama  -  Argentina",360,"Argentina","total  -  Drama"
"total  -  Music  -  Argentina",35,"Argentina","total  -  Music"
"total  -  Mystery  -  Argentina",55,"Argentina","total  -  Mystery"
"total  -  Romance  -  Argentina",102,"Argentina","total  -  Romance"
"total  -  Thriller  -  Argentina",90,"Argentina","total  -  Thriller"
"total  -  Action  -  Australia",181,"Australia","total  -  Action"
"total  -  Adventure  -  Australia",131,"Australia","total  -  Adventure"
"total  -  Animation  -  Australia",51,"Australia","total  -  Animation"
"total  -  Comedy  -  Australia",176,"Australia","total  -  Comedy"
"total  -  Crime  -  Australia",135,"Australia","total  -  Crime"
"total  -  Drama  -  Australia",296,"Australia","total  -  Drama"
"total  -  Fantasy  -  Australia",58,"Australia","total  -  Fantasy"
"total  -  Mystery  -  Australia",51,"Australia","total  -  Mystery"
"total  -  Romance  -  Australia",71,"Australia","total  -  Romance"
"total  -  Sci Fi  -  Australia",52,"Australia","total  -  Sci Fi"
"total  -  Thriller  -  Australia",58,"Australia","total  -  Thriller"
"total  -  Action  -  Austria",191,"Austria","total  -  Action"
"total  -  Adventure  -  Austria",140,"Austria","total  -  Adventure"
"total  -  Comedy  -  Austria",185,"Austria","total  -  Comedy"
"total  -  Crime  -  Austria",156,"Austria","total  -  Crime"
"total  -  Drama  -  Austria",310,"Austria","total  -  Drama"
"total  -  Family  -  Austria",47,"Austria","total  -  Family"
"total  -  Fantasy  -  Austria",68,"Austria","total  -  Fantasy"
"total  -  Mystery  -  Austria",58,"Austria","total  -  Mystery"
"total  -  Romance  -  Austria",84,"Austria","total  -  Romance"
"total  -  Thriller  -  Austria",78,"Austria","total  -  Thriller"
"total  -  Action  -  Bahamas",179,"Bahamas","total  -  Action"
"total  -  Adventure  -  Bahamas",104,"Bahamas","total  -  Adventure"
"total  -  Animation  -  Bahamas",76,"Bahamas","total  -  Animation"
"total  -  Comedy  -  Bahamas",181,"Bahamas","total  -  Comedy"
"total  -  Crime  -  Bahamas",147,"Bahamas","total  -  Crime"
"total  -  Drama  -  Bahamas",286,"Bahamas","total  -  Drama"
"total  -  Family  -  Bahamas",47,"Bahamas","total  -  Family"
"total  -  Fantasy  -  Bahamas",42,"Bahamas","total  -  Fantasy"
"total  -  Romance  -  Bahamas",65,"Bahamas","total  -  Romance"
"total  -  Thriller  -  Bahamas",105,"Bahamas","total  -  Thriller"
"total  -  Action  -  Bahrain",199,"Bahrain","total  -  Action"
"total  -  Adventure  -  Bahrain",114,"Bahrain","total  -  Adventure"
"total  -  Comedy  -  Bahrain",165,"Bahrain","total  -  Comedy"
"total  -  Crime  -  Bahrain",132,"Bahrain","total  -  Crime"
"total  -  Drama  -  Bahrain",321,"Bahrain","total  -  Drama"
"total  -  Fantasy  -  Bahrain",54,"Bahrain","total  -  Fantasy"
"total  -  Horror  -  Bahrain",36,"Bahrain","total  -  Horror"
"total  -  Mystery  -  Bahrain",51,"Bahrain","total  -  Mystery"
"total  -  Romance  -  Bahrain",85,"Bahrain","total  -  Romance"
"total  -  Thriller  -  Bahrain",82,"Bahrain","total  -  Thriller"
"total  -  Action  -  Bangladesh",218,"Bangladesh","total  -  Action"
"total  -  Adventure  -  Bangladesh",92,"Bangladesh","total  -  Adventure"
"total  -  Comedy  -  Bangladesh",180,"Bangladesh","total  -  Comedy"
"total  -  Crime  -  Bangladesh",164,"Bangladesh","total  -  Crime"
"total  -  Drama  -  Bangladesh",367,"Bangladesh","total  -  Drama"
"total  -  Fantasy  -  Bangladesh",38,"Bangladesh","total  -  Fantasy"
"total  -  Mystery  -  Bangladesh",89,"Bangladesh","total  -  Mystery"
"total  -  Romance  -  Bangladesh",102,"Bangladesh","total  -  Romance"
"total  -  Sci Fi  -  Bangladesh",40,"Bangladesh","total  -  Sci Fi"
"total  -  Thriller  -  Bangladesh",72,"Bangladesh","total  -  Thriller"
"total  -  Action  -  Belgium",195,"Belgium","total  -  Action"
"total  -  Adventure  -  Belgium",137,"Belgium","total  -  Adventure"
"total  -  Animation  -  Belgium",54,"Belgium","total  -  Animation"
"total  -  Comedy  -  Belgium",189,"Belgium","total  -  Comedy"
"total  -  Crime  -  Belgium",133,"Belgium","total  -  Crime"
"total  -  Drama  -  Belgium",315,"Belgium","total  -  Drama"
"total  -  Fantasy  -  Belgium",67,"Belgium","total  -  Fantasy"
"total  -  Mystery  -  Belgium",48,"Belgium","total  -  Mystery"
"total  -  Romance  -  Belgium",82,"Belgium","total  -  Romance"
"total  -  Thriller  -  Belgium",67,"Belgium","total  -  Thriller"
"total  -  Action  -  Bolivia",155,"Bolivia","total  -  Action"
"total  -  Adventure  -  Bolivia",140,"Bolivia","total  -  Adventure"
"total  -  Animation  -  Bolivia",98,"Bolivia","total  -  Animation"
"total  -  Comedy  -  Bolivia",224,"Bolivia","total  -  Comedy"
"total  -  Crime  -  Bolivia",90,"Bolivia","total  -  Crime"
"total  -  Drama  -  Bolivia",266,"Bolivia","total  -  Drama"
"total  -  Fantasy  -  Bolivia",41,"Bolivia","total  -  Fantasy"
"total  -  Mystery  -  Bolivia",41,"Bolivia","total  -  Mystery"
"total  -  Romance  -  Bolivia",111,"Bolivia","total  -  Romance"
"total  -  Thriller  -  Bolivia",57,"Bolivia","total  -  Thriller"
"total  -  Action  -  Brazil",159,"Brazil","total  -  Action"
"total  -  Adventure  -  Brazil",188,"Brazil","total  -  Adventure"
"total  -  Animation  -  Brazil",72,"Brazil","total  -  Animation"
"total  -  Comedy  -  Brazil",178,"Brazil","total  -  Comedy"
"total  -  Crime  -  Brazil",118,"Brazil","total  -  Crime"
"total  -  Drama  -  Brazil",267,"Brazil","total  -  Drama"
"total  -  Family  -  Brazil",74,"Brazil","total  -  Family"
"total  -  Fantasy  -  Brazil",40,"Brazil","total  -  Fantasy"
"total  -  Music  -  Brazil",40,"Brazil","total  -  Music"
"total  -  Mystery  -  Brazil",40,"Brazil","total  -  Mystery"
"total  -  Romance  -  Brazil",117,"Brazil","total  -  Romance"
"total  -  Thriller  -  Brazil",62,"Brazil","total  -  Thriller"
"total  -  Action  -  Bulgaria",214,"Bulgaria","total  -  Action"
"total  -  Adventure  -  Bulgaria",128,"Bulgaria","total  -  Adventure"
"total  -  Animation  -  Bulgaria",49,"Bulgaria","total  -  Animation"
"total  -  Comedy  -  Bulgaria",185,"Bulgaria","total  -  Comedy"
"total  -  Crime  -  Bulgaria",123,"Bulgaria","total  -  Crime"
"total  -  Drama  -  Bulgaria",316,"Bulgaria","total  -  Drama"
"total  -  Fantasy  -  Bulgaria",55,"Bulgaria","total  -  Fantasy"
"total  -  Mystery  -  Bulgaria",42,"Bulgaria","total  -  Mystery"
"total  -  Romance  -  Bulgaria",99,"Bulgaria","total  -  Romance"
"total  -  Thriller  -  Bulgaria",61,"Bulgaria","total  -  Thriller"
"total  -  Action  -  Canada",172,"Canada","total  -  Action"
"total  -  Adventure  -  Canada",105,"Canada","total  -  Adventure"
"total  -  Animation  -  Canada",54,"Canada","total  -  Animation"
"total  -  Comedy  -  Canada",184,"Canada","total  -  Comedy"
"total  -  Crime  -  Canada",146,"Canada","total  -  Crime"
"total  -  Drama  -  Canada",289,"Canada","total  -  Drama"
"total  -  Fantasy  -  Canada",41,"Canada","total  -  Fantasy"
"total  -  Mystery  -  Canada",54,"Canada","total  -  Mystery"
"total  -  Romance  -  Canada",76,"Canada","total  -  Romance"
"total  -  Thriller  -  Canada",76,"Canada","total  -  Thriller"
"total  -  Action  -  Chile",127,"Chile","total  -  Action"
"total  -  Adventure  -  Chile",122,"Chile","total  -  Adventure"
"total  -  Animation  -  Chile",74,"Chile","total  -  Animation"
"total  -  Comedy  -  Chile",205,"Chile","total  -  Comedy"
"total  -  Crime  -  Chile",103,"Chile","total  -  Crime"
"total  -  Drama  -  Chile",328,"Chile","total  -  Drama"
