"parents","n","labels","id"
"Argentina",128,"Action","Argentina  -  Action"
"Argentina",103,"Adventure","Argentina  -  Adventure"
"Argentina",56,"Animation","Argentina  -  Animation"
"Argentina",10,"Biography","Argentina  -  Biography"
"Argentina",175,"Comedy","Argentina  -  Comedy"
"Argentina",139,"Crime","Argentina  -  Crime"
"Argentina",12,"Documentary","Argentina  -  Documentary"
"Argentina",360,"Drama","Argentina  -  Drama"
"Argentina",14,"Family","Argentina  -  Family"
"Argentina",34,"Fantasy","Argentina  -  Fantasy"
"Argentina",5,"History","Argentina  -  History"
"Argentina",33,"Horror","Argentina  -  Horror"
"Argentina",35,"Music","Argentina  -  Music"
"Argentina",2,"Musical","Argentina  -  Musical"
"Argentina",55,"Mystery","Argentina  -  Mystery"
"Argentina",102,"Romance","Argentina  -  Romance"
"Argentina",10,"Sci Fi","Argentina  -  Sci Fi"
"Argentina",6,"Sport","Argentina  -  Sport"
"Argentina",90,"Thriller","Argentina  -  Thriller"
"Argentina",3,"War","Argentina  -  War"
"Argentina",6,"Western","Argentina  -  Western"
"Australia",181,"Action","Australia  -  Action"
"Australia",1,"Adult","Australia  -  Adult"
"Australia",131,"Adventure","Australia  -  Adventure"
"Australia",51,"Animation","Australia  -  Animation"
"Australia",15,"Biography","Australia  -  Biography"
"Australia",176,"Comedy","Australia  -  Comedy"
"Australia",135,"Crime","Australia  -  Crime"
"Australia",32,"Documentary","Australia  -  Documentary"
"Australia",296,"Drama","Australia  -  Drama"
"Australia",43,"Family","Australia  -  Family"
"Australia",58,"Fantasy","Australia  -  Fantasy"
"Australia",9,"Game Show","Australia  -  Game Show"
"Australia",5,"History","Australia  -  History"
"Australia",31,"Horror","Australia  -  Horror"
"Australia",3,"Music","Australia  -  Music"
"Australia",1,"Musical","Australia  -  Musical"
"Australia",51,"Mystery","Australia  -  Mystery"
"Australia",24,"Reality TV","Australia  -  Reality TV"
"Australia",71,"Romance","Australia  -  Romance"
"Australia",52,"Sci Fi","Australia  -  Sci Fi"
"Australia",13,"Sport","Australia  -  Sport"
"Australia",3,"Talk Show","Australia  -  Talk Show"
"Australia",58,"Thriller","Australia  -  Thriller"
"Australia",7,"War","Australia  -  War"
"Australia",7,"Western","Australia  -  Western"
"Austria",191,"Action","Austria  -  Action"
"Austria",2,"Adult","Austria  -  Adult"
"Austria",140,"Adventure","Austria  -  Adventure"
"Austria",35,"Animation","Austria  -  Animation"
"Austria",16,"Biography","Austria  -  Biography"
"Austria",185,"Comedy","Austria  -  Comedy"
"Austria",156,"Crime","Austria  -  Crime"
"Austria",22,"Documentary","Austria  -  Documentary"
"Austria",310,"Drama","Austria  -  Drama"
"Austria",47,"Family","Austria  -  Family"
"Austria",68,"Fantasy","Austria  -  Fantasy"
"Austria",7,"Game Show","Austria  -  Game Show"
"Austria",4,"History","Austria  -  History"
"Austria",36,"Horror","Austria  -  Horror"
"Austria",2,"Music","Austria  -  Music"
"Austria",58,"Mystery","Austria  -  Mystery"
"Austria",10,"Reality TV","Austria  -  Reality TV"
"Austria",84,"Romance","Austria  -  Romance"
"Austria",27,"Sci Fi","Austria  -  Sci Fi"
"Austria",14,"Sport","Austria  -  Sport"
"Austria",1,"Talk Show","Austria  -  Talk Show"
"Austria",78,"Thriller","Austria  -  Thriller"
"Austria",3,"War","Austria  -  War"
"Austria",7,"Western","Austria  -  Western"
"Bahamas",179,"Action","Bahamas  -  Action"
"Bahamas",104,"Adventure","Bahamas  -  Adventure"
"Bahamas",76,"Animation","Bahamas  -  Animation"
"Bahamas",11,"Biography","Bahamas  -  Biography"
