Preco,Tamanho,CEP,Tipo_Imovel,Status_Imovel,Status_Aluguel,Cidade
899950,37505,NW3 1RX,Apartamento,Antigo,Alugado,Natal
330000,37475,W3 6DR,Casa com Quintal,Antigo,Vazio,Natal
230000,37270,SW6 2RX,Apartamento,Antigo,Alugado,Natal
178000,37596,CR0 9LQ,Cobertura,Antigo,Vazio,Fortaleza
180000,37396,SE27 9AW,Casa com Quintal,Antigo,Vazio,Natal
130000,37293,SW15 1HJ,Apartamento,Antigo,Alugado,Natal
299950,37575,SW11 3AB,Apartamento,Antigo,Alugado,Natal
85000,37329,N15 6UL,Apartamento,Novo,Alugado,Natal
280000,37476,W4 2HD,Apartamento,Antigo,Alugado,Natal
160000,37474,N8 7PG,Apartamento,Antigo,Alugado,Natal
157000,37386,CR0 9LQ,Cobertura,Antigo,Vazio,Fortaleza
347000,37468,NW5 2JD,Apartamento,Antigo,Alugado,Natal
8000,39276,EN4 8HQ,Outro,Antigo,Vazio,Recife
350000,39435,E1 1NE,Apartamento,Antigo,Alugado,Natal
233000,39094,N8 7PG,Apartamento,Antigo,Alugado,Natal
375000,39002,SW5 9LA,Apartamento,Antigo,Alugado,Natal
375000,38796,SE4 2AB,Cobertura,Antigo,Vazio,Natal
344000,39020,SW11 3AB,Apartamento,Antigo,Alugado,Natal
108000,38789,N15 6UL,Apartamento,Antigo,Alugado,Natal
235000,38814,SW9 0LL,Apartamento,Antigo,Alugado,Natal
250000,39031,EC2A 4QS,Apartamento,Antigo,Alugado,Natal
360000,38828,RM14 1XW,Casa com Quintal,Antigo,Vazio,Belo Horizonte
210000,39072,N8 7PG,Apartamento,Antigo,Alugado,Natal
230000,38828,TW8 0PF,Apartamento,Antigo,Alugado,Blumenau
103600,38763,CR7 7BB,Apartamento,Antigo,Alugado,Palmas
233500,39028,CR0 9LQ,Casa sem Quintal,Antigo,Vazio,Fortaleza
155000,38775,N17 6XX,Apartamento,Antigo,Alugado,Natal
489500,38979,EN2 6SY,Apartamento,Novo,Alugado,Salvador
224950,38975,N8 7PG,Apartamento,Antigo,Alugado,Natal
187500,38996,BR3 5NP,Apartamento,Antigo,Alugado,Teresina
210000,36455,W14 0NS,Apartamento,Antigo,Alugado,Natal
85000,36376,N8 7PG,Apartamento,Antigo,Alugado,Natal
190000,36231,TW9 1LX,Casa com Quintal,Antigo,Vazio,Osasco
86000,36371,TW8 0PF,Apartamento,Antigo,Alugado,Blumenau
250000,38329,W11 4RS,Apartamento,Antigo,Alugado,Natal
183000,38142,SM3 9LS,Cobertura,Antigo,Vazio,Londrina
695000,38125,SW10 9AH,Apartamento,Antigo,Vazio,Natal
100000,38037,CR7 7BB,Apartamento,Antigo,Alugado,Palmas
195000,38145,RM7 8HH,Cobertura,Antigo,Vazio,Canoas
150000,38184,N8 7PG,Apartamento,Antigo,Alugado,Natal
330000,38121,E14 5SH,Apartamento,Antigo,Alugado,Natal
225000,38125,EC2A 4QS,Apartamento,Antigo,Alugado,Natal
166000,38219,N8 7PG,Apartamento,Antigo,Alugado,Natal
330000,38100,SW5 9UD,Apartamento,Antigo,Alugado,Natal
87500,38085,DA16 1AR,Apartamento,Antigo,Alugado,Suzano
150000,38442,KT3 3TD,Apartamento,Antigo,Alugado,Barueri
295000,38530,W14 0NS,Apartamento,Antigo,Alugado,Natal
343790,38663,W14 0NS,Apartamento,Antigo,Alugado,Natal
